circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0330+cc_min_2qg_out,sabre0330+cc_min_depth_out,sabre0330+cc_min_2qg_ratio,sabre0330+cc_min_depth_ratio,sabre0330+cc_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sabre0394+cc_min_2qg_out,sabre0394+cc_min_depth_out,sabre0394+cc_min_2qg_ratio,sabre0394+cc_min_depth_ratio,sabre0394+cc_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time,sqgm+cc_min_2qg_out,sqgm+cc_min_depth_out,sqgm+cc_min_2qg_ratio,sqgm+cc_min_depth_ratio,sqgm+cc_avg_time,nassc_min_2qg_out,nassc_min_depth_out,nassc_min_2qg_ratio,nassc_min_depth_ratio,nassc_avg_time
53QBT_depth_Sycamore_large_opt_10_2.55_no.0.qasm,440,81,1061,268,2.411,3.309,0.69,860,161,1.955,1.988,0.78,1094,292,2.486,3.605,0.51,888,201,2.018,2.481,0.55,1463,184,3.325,2.272,0.97,1215,140,2.761,1.728,1.1,938,196,2.132,2.42,1.35
53QBT_depth_Sycamore_large_opt_10_2.55_no.1.qasm,406,81,925,258,2.278,3.185,0.63,872,211,2.148,2.605,0.96,985,247,2.426,3.049,0.35,759,164,1.869,2.025,0.5,1291,182,3.18,2.247,0.92,1160,156,2.857,1.926,1.2,759,167,1.869,2.062,1.14
53QBT_depth_Sycamore_large_opt_10_2.55_no.2.qasm,405,82,1095,337,2.704,4.11,0.8,941,240,2.323,2.927,0.71,1155,333,2.852,4.061,0.28,871,231,2.151,2.817,0.38,1530,206,3.778,2.512,1.23,1266,141,3.126,1.72,1.05,948,225,2.341,2.744,1.27
53QBT_depth_Sycamore_large_opt_10_2.55_no.3.qasm,448,82,1186,344,2.647,4.195,0.81,894,212,1.996,2.585,0.7,1153,356,2.574,4.341,0.29,904,197,2.018,2.402,0.89,1558,199,3.478,2.427,1.13,1172,132,2.616,1.61,1.25,915,189,2.042,2.305,1.35
53QBT_depth_Sycamore_large_opt_10_2.55_no.4.qasm,405,82,1050,271,2.593,3.305,0.8,895,202,2.21,2.463,0.93,1044,251,2.578,3.061,0.55,847,186,2.091,2.268,0.37,1428,188,3.526,2.293,0.83,1123,129,2.773,1.573,0.88,878,192,2.168,2.341,1.2
53QBT_depth_Sycamore_large_opt_10_2.55_no.5.qasm,432,82,1116,312,2.583,3.805,0.65,800,189,1.852,2.305,0.93,1086,314,2.514,3.829,0.59,891,183,2.062,2.232,0.41,1506,181,3.486,2.207,1.25,1212,130,2.806,1.585,1.02,908,178,2.102,2.171,1.56
53QBT_depth_Sycamore_large_opt_10_2.55_no.6.qasm,440,84,1175,311,2.67,3.702,0.63,941,223,2.139,2.655,1.06,1064,343,2.418,4.083,0.28,877,188,1.993,2.238,0.38,1427,213,3.243,2.536,0.81,1242,164,2.823,1.952,0.95,883,220,2.007,2.619,1.17
53QBT_depth_Sycamore_large_opt_10_2.55_no.7.qasm,423,78,996,246,2.355,3.154,0.92,818,187,1.934,2.397,1.0,1053,247,2.489,3.167,0.65,818,137,1.934,1.756,0.8,1272,162,3.007,2.077,1.55,1046,124,2.473,1.59,1.29,935,161,2.21,2.064,1.73
53QBT_depth_Sycamore_large_opt_10_2.55_no.8.qasm,418,85,1024,320,2.45,3.765,0.51,937,202,2.242,2.376,0.72,1093,300,2.615,3.529,0.28,955,206,2.285,2.424,0.4,1381,181,3.304,2.129,0.84,1251,151,2.993,1.776,0.98,979,223,2.342,2.624,1.14
53QBT_depth_Sycamore_large_opt_10_2.55_no.9.qasm,469,84,1108,328,2.362,3.905,1.05,892,200,1.902,2.381,0.71,1144,278,2.439,3.31,0.76,978,231,2.085,2.75,0.43,1609,192,3.431,2.286,0.99,1445,163,3.081,1.94,1.13,1064,229,2.269,2.726,1.77
