circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time,sqgm+nh_min_2qg_out,sqgm+nh_min_depth_out,sqgm+nh_min_2qg_ratio,sqgm+nh_min_depth_ratio,sqgm+nh_avg_time
54QBT_25CYC_QSE_0.qasm,270,25,729,159,2.7,6.36,0.43,738,163,2.733,6.52,0.3,852,102,3.156,4.08,0.62,726,137,2.689,5.48,0.43
54QBT_25CYC_QSE_1.qasm,270,25,672,168,2.489,6.72,0.4,630,147,2.333,5.88,0.25,684,82,2.533,3.28,0.56,630,128,2.333,5.12,0.4
54QBT_25CYC_QSE_2.qasm,270,25,714,146,2.644,5.84,0.48,702,130,2.6,5.2,0.28,888,98,3.289,3.92,0.66,690,116,2.556,4.64,0.56
54QBT_25CYC_QSE_3.qasm,270,25,741,149,2.744,5.96,0.53,594,141,2.2,5.64,0.38,747,100,2.767,4.0,0.55,630,121,2.333,4.84,0.45
54QBT_25CYC_QSE_4.qasm,270,25,615,149,2.278,5.96,0.47,588,129,2.178,5.16,0.3,801,89,2.967,3.56,0.61,645,122,2.389,4.88,0.48
54QBT_25CYC_QSE_5.qasm,270,25,570,114,2.111,4.56,0.44,555,108,2.056,4.32,0.32,741,86,2.744,3.44,0.55,561,103,2.078,4.12,0.55
54QBT_25CYC_QSE_6.qasm,270,25,705,161,2.611,6.44,0.56,708,152,2.622,6.08,0.33,906,95,3.356,3.8,0.7,753,156,2.789,6.24,0.69
54QBT_25CYC_QSE_7.qasm,270,25,606,131,2.244,5.24,0.34,654,129,2.422,5.16,0.36,732,80,2.711,3.2,0.49,591,104,2.189,4.16,0.34
54QBT_25CYC_QSE_8.qasm,270,25,690,159,2.556,6.36,0.54,672,136,2.489,5.44,0.19,849,97,3.144,3.88,0.72,699,144,2.589,5.76,0.58
54QBT_25CYC_QSE_9.qasm,270,25,699,160,2.589,6.4,0.57,708,137,2.622,5.48,0.4,825,88,3.056,3.52,0.71,675,118,2.5,4.72,0.55
