circuit,2qg_in,depth_in,sabre0330_2qg_out_5,sabre0330_2qg_out_10,sabre0330_2qg_out_20,sabre0330_2qg_out_30,sabre0330_2qg_out_40,sabre0330_2qg_out_50,sabre0330_2qg_out_75,sabre0330_2qg_out_100,sabre0330_2qg_out_150,sabre0330_2qg_out_200,sabre0330_2qg_out_250,sabre0330_2qg_out_300,sabre0330_2qg_out_400,sabre0330_2qg_out_500,sabre0330_2qg_out_750,sabre0330_2qg_out_1000,sabre0330_depth_out_5,sabre0330_depth_out_10,sabre0330_depth_out_20,sabre0330_depth_out_30,sabre0330_depth_out_40,sabre0330_depth_out_50,sabre0330_depth_out_75,sabre0330_depth_out_100,sabre0330_depth_out_150,sabre0330_depth_out_200,sabre0330_depth_out_250,sabre0330_depth_out_300,sabre0330_depth_out_400,sabre0330_depth_out_500,sabre0330_depth_out_750,sabre0330_depth_out_1000,sabre0330_avg_time,sabre0394_2qg_out_5,sabre0394_2qg_out_10,sabre0394_2qg_out_20,sabre0394_2qg_out_30,sabre0394_2qg_out_40,sabre0394_2qg_out_50,sabre0394_2qg_out_75,sabre0394_2qg_out_100,sabre0394_2qg_out_150,sabre0394_2qg_out_200,sabre0394_2qg_out_250,sabre0394_2qg_out_300,sabre0394_2qg_out_400,sabre0394_2qg_out_500,sabre0394_2qg_out_750,sabre0394_2qg_out_1000,sabre0394_depth_out_5,sabre0394_depth_out_10,sabre0394_depth_out_20,sabre0394_depth_out_30,sabre0394_depth_out_40,sabre0394_depth_out_50,sabre0394_depth_out_75,sabre0394_depth_out_100,sabre0394_depth_out_150,sabre0394_depth_out_200,sabre0394_depth_out_250,sabre0394_depth_out_300,sabre0394_depth_out_400,sabre0394_depth_out_500,sabre0394_depth_out_750,sabre0394_depth_out_1000,sabre0394_avg_time,sqgm_2qg_out_5,sqgm_2qg_out_10,sqgm_2qg_out_20,sqgm_2qg_out_30,sqgm_2qg_out_40,sqgm_2qg_out_50,sqgm_2qg_out_75,sqgm_2qg_out_100,sqgm_2qg_out_150,sqgm_2qg_out_200,sqgm_2qg_out_250,sqgm_2qg_out_300,sqgm_2qg_out_400,sqgm_2qg_out_500,sqgm_2qg_out_750,sqgm_2qg_out_1000,sqgm_depth_out_5,sqgm_depth_out_10,sqgm_depth_out_20,sqgm_depth_out_30,sqgm_depth_out_40,sqgm_depth_out_50,sqgm_depth_out_75,sqgm_depth_out_100,sqgm_depth_out_150,sqgm_depth_out_200,sqgm_depth_out_250,sqgm_depth_out_300,sqgm_depth_out_400,sqgm_depth_out_500,sqgm_depth_out_750,sqgm_depth_out_1000,sqgm_avg_time
53QBT_depth_Sycamore_large_opt_10_2.55_no.0.qasm,440,81,1082,1058,974,974,938,938,938,938,938,911,911,911,911,911,911,911,299,267,267,267,267,267,266,239,227,176,176,176,176,176,176,176,0.76,1043,1043,995,980,980,980,953,953,953,923,923,923,923,923,923,923,307,307,249,240,240,240,223,223,223,213,213,213,204,204,204,203,0.47,1274,1274,1274,1262,1262,1262,1151,1151,1151,1151,1148,1148,1148,1148,1121,1121,179,179,172,167,167,167,163,163,153,153,152,152,152,152,148,139,1.08
53QBT_depth_Sycamore_large_opt_10_2.55_no.1.qasm,406,81,1048,1033,979,979,979,871,871,871,871,871,871,871,871,871,871,853,335,308,221,221,221,221,221,221,221,221,221,221,221,221,221,221,0.86,1033,979,958,958,958,928,928,928,928,928,928,928,925,925,910,892,312,274,274,256,256,233,233,233,233,233,233,233,233,233,233,224,0.6,1318,1318,1231,1135,1135,1135,1135,1099,1099,1099,1099,1099,1099,1078,1078,1078,207,173,173,168,168,168,158,158,158,158,158,158,145,145,145,145,1.14
53QBT_depth_Sycamore_large_opt_10_2.55_no.2.qasm,405,82,1083,1038,924,924,924,924,924,924,924,924,924,924,924,924,924,924,364,364,310,310,305,292,292,265,259,259,243,243,243,239,239,239,0.89,1071,1047,957,957,957,957,957,957,957,957,957,957,957,957,942,936,297,261,261,261,261,261,259,259,259,259,253,253,253,239,227,227,0.57,1557,1422,1215,1215,1215,1215,1215,1215,1215,1149,1143,1143,1143,1143,1143,1143,209,209,177,177,177,176,165,165,165,157,157,155,155,155,155,155,1.31
53QBT_depth_Sycamore_large_opt_10_2.55_no.3.qasm,448,82,1078,1078,1078,985,985,985,985,985,985,985,985,985,985,985,985,985,338,323,311,308,294,294,282,262,262,262,255,250,250,250,237,237,1.06,1090,1090,1090,997,997,997,997,997,997,997,997,997,997,997,997,988,299,299,288,284,284,284,281,245,245,245,245,245,245,245,245,245,0.67,1423,1414,1414,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,1189,205,205,186,186,186,185,180,171,171,171,171,171,171,169,169,169,1.29
53QBT_depth_Sycamore_large_opt_10_2.55_no.4.qasm,405,82,1035,1032,969,942,942,942,921,921,921,915,897,897,897,897,894,894,287,287,260,260,260,260,229,229,229,229,229,229,229,229,229,228,0.76,936,936,936,936,936,936,933,933,888,888,888,888,888,888,888,888,275,275,240,240,240,240,240,232,232,232,232,232,232,231,226,226,0.48,1251,1251,1251,1251,1251,1200,1200,1068,1068,1068,1068,1068,1068,1068,1068,1068,176,176,176,176,176,175,169,149,149,149,149,149,149,149,149,149,1.35
53QBT_depth_Sycamore_large_opt_10_2.55_no.5.qasm,432,82,1104,1068,1047,1047,1047,1047,1047,1041,1011,1011,1011,1002,990,966,966,954,295,295,285,256,256,256,256,256,256,254,254,241,238,238,224,224,0.88,1065,1023,1023,1023,1023,1023,1023,1011,963,963,963,963,963,963,963,963,282,282,282,245,245,245,245,245,245,245,245,245,245,245,245,245,0.29,1464,1398,1269,1269,1269,1269,1269,1239,1239,1239,1239,1239,1239,1239,1203,1203,200,182,182,182,182,158,158,158,158,156,156,156,156,156,151,149,1.1
53QBT_depth_Sycamore_large_opt_10_2.55_no.6.qasm,440,84,1097,998,980,980,980,980,968,968,968,968,968,968,968,965,941,941,326,314,271,271,271,267,247,247,247,247,238,238,238,238,230,230,0.84,1085,1064,1028,1028,1028,1028,998,980,980,980,974,974,974,974,941,941,337,269,269,269,269,269,269,269,253,250,250,250,250,247,229,229,0.86,1412,1373,1238,1238,1238,1238,1184,1172,1172,1172,1112,1112,1112,1112,1112,1112,194,184,163,163,163,163,163,163,163,163,163,163,163,151,151,151,1.12
53QBT_depth_Sycamore_large_opt_10_2.55_no.7.qasm,423,78,1056,933,933,933,933,933,933,933,897,897,897,897,897,897,897,897,282,276,276,276,275,275,226,226,226,183,183,183,183,183,183,183,2.15,1026,939,939,939,939,939,939,939,906,885,885,885,885,885,885,885,326,269,269,269,261,261,259,259,222,222,222,220,220,199,199,198,1.16,1281,1260,1260,1260,1260,1260,1230,1191,1170,1170,1170,1170,1167,1143,1083,1083,157,157,157,157,157,157,157,152,151,151,151,151,151,151,137,137,1.82
53QBT_depth_Sycamore_large_opt_10_2.55_no.8.qasm,418,85,1093,1024,1021,1021,1021,1021,1021,1015,1015,988,988,970,955,955,955,928,303,283,261,261,261,261,261,261,261,243,243,243,243,236,236,236,1.73,1048,1030,1030,1030,1030,1015,1015,988,988,988,988,988,982,949,949,949,309,309,289,289,275,275,255,255,255,255,255,255,255,240,229,229,2.59,1402,1342,1342,1342,1342,1333,1279,1270,1270,1270,1258,1258,1240,1171,1171,1156,217,217,196,196,196,196,182,182,182,182,182,182,175,175,173,169,2.06
53QBT_depth_Sycamore_large_opt_10_2.55_no.9.qasm,469,84,1045,1045,1045,1045,1045,1045,1045,1021,1015,1015,1015,1015,994,994,985,985,237,237,237,237,237,237,237,237,237,237,237,237,237,237,237,235,3.55,1120,1120,1120,1102,1102,1102,1102,1072,1033,1033,1033,1030,1030,1030,925,925,314,299,270,270,270,270,270,270,227,227,227,227,227,227,215,215,3.2,1411,1411,1411,1411,1411,1411,1411,1276,1240,1240,1240,1240,1240,1240,1240,1240,212,188,188,174,174,174,174,174,172,172,172,162,162,162,162,156,3.91
