circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time
53QBT_depth_Rochester_large_opt_10_1.5_no.0.qasm,440,67,1388,274,3.155,4.09,0.58,1325,266,3.011,3.97,0.35,1778,211,4.041,3.149,0.86
53QBT_depth_Rochester_large_opt_10_1.5_no.1.qasm,453,70,1221,297,2.695,4.243,0.54,1173,241,2.589,3.443,0.33,1836,213,4.053,3.043,0.95
53QBT_depth_Rochester_large_opt_10_1.5_no.2.qasm,424,68,1060,183,2.5,2.691,0.59,1078,316,2.542,4.647,0.43,1549,181,3.653,2.662,0.82
53QBT_depth_Rochester_large_opt_10_1.5_no.3.qasm,421,66,1075,267,2.553,4.045,0.65,1243,251,2.952,3.803,0.37,1552,189,3.686,2.864,0.87
53QBT_depth_Rochester_large_opt_10_1.5_no.4.qasm,409,61,1222,276,2.988,4.525,0.62,1291,242,3.156,3.967,0.36,1396,171,3.413,2.803,0.9
53QBT_depth_Rochester_large_opt_10_1.5_no.5.qasm,410,61,1070,229,2.61,3.754,0.57,1013,192,2.471,3.148,0.36,1457,174,3.554,2.852,0.69
53QBT_depth_Rochester_large_opt_10_1.5_no.6.qasm,418,63,1261,289,3.017,4.587,0.72,1225,272,2.931,4.317,0.56,1492,186,3.569,2.952,0.84
53QBT_depth_Rochester_large_opt_10_1.5_no.7.qasm,444,63,1167,224,2.628,3.556,0.66,1188,219,2.676,3.476,0.24,1446,183,3.257,2.905,0.68
53QBT_depth_Rochester_large_opt_10_1.5_no.8.qasm,395,61,1118,245,2.83,4.016,0.72,1157,215,2.929,3.525,0.43,1346,145,3.408,2.377,1.07
53QBT_depth_Rochester_large_opt_10_1.5_no.9.qasm,459,63,1290,241,2.81,3.825,0.75,1179,245,2.569,3.889,0.26,1548,167,3.373,2.651,0.74
53QBT_depth_Rochester_large_opt_10_2.55_no.0.qasm,447,80,1122,320,2.51,4.0,0.74,1149,371,2.57,4.638,0.53,1932,211,4.322,2.638,1.41
53QBT_depth_Rochester_large_opt_10_2.55_no.1.qasm,413,70,1343,277,3.252,3.957,0.92,1238,273,2.998,3.9,0.28,1568,200,3.797,2.857,0.79
53QBT_depth_Rochester_large_opt_10_2.55_no.2.qasm,500,83,1457,404,2.914,4.867,0.9,1463,302,2.926,3.639,0.59,2177,240,4.354,2.892,1.11
53QBT_depth_Rochester_large_opt_10_2.55_no.3.qasm,433,78,1369,295,3.162,3.782,1.02,1369,341,3.162,4.372,0.64,1555,178,3.591,2.282,1.22
53QBT_depth_Rochester_large_opt_10_2.55_no.4.qasm,460,79,1372,284,2.983,3.595,0.61,1099,263,2.389,3.329,0.62,1537,184,3.341,2.329,1.14
53QBT_depth_Rochester_large_opt_10_2.55_no.5.qasm,435,74,1263,310,2.903,4.189,0.58,1188,278,2.731,3.757,0.61,1665,201,3.828,2.716,1.17
53QBT_depth_Rochester_large_opt_10_2.55_no.6.qasm,445,76,1300,289,2.921,3.803,0.92,1273,312,2.861,4.105,0.28,1900,215,4.27,2.829,0.98
