circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time
53QBT_depth_Sycamore_large_opt_10_1.5_no.0.qasm,379,67,943,259,2.488,3.866,0.45,955,226,2.52,3.373,0.28,1414,172,3.731,2.567,0.83
53QBT_depth_Sycamore_large_opt_10_1.5_no.1.qasm,405,64,1038,248,2.563,3.875,0.53,1026,239,2.533,3.734,0.36,1344,172,3.319,2.688,0.8
53QBT_depth_Sycamore_large_opt_10_1.5_no.2.qasm,405,72,1140,310,2.815,4.306,0.59,1107,261,2.733,3.625,0.37,1335,176,3.296,2.444,0.77
53QBT_depth_Sycamore_large_opt_10_1.5_no.3.qasm,442,72,1063,298,2.405,4.139,0.61,1072,253,2.425,3.514,0.35,1324,162,2.995,2.25,0.85
53QBT_depth_Sycamore_large_opt_10_1.5_no.4.qasm,396,66,999,235,2.523,3.561,0.6,1014,226,2.561,3.424,0.34,1302,165,3.288,2.5,0.81
53QBT_depth_Sycamore_large_opt_10_1.5_no.5.qasm,386,64,1007,249,2.609,3.891,0.6,1022,252,2.648,3.938,0.48,1352,176,3.503,2.75,0.79
53QBT_depth_Sycamore_large_opt_10_1.5_no.6.qasm,440,71,1040,288,2.364,4.056,0.59,1103,267,2.507,3.761,0.41,1415,196,3.216,2.761,0.84
53QBT_depth_Sycamore_large_opt_10_1.5_no.7.qasm,429,64,1068,216,2.49,3.375,0.67,1140,237,2.657,3.703,0.24,1359,161,3.168,2.516,1.05
53QBT_depth_Sycamore_large_opt_10_1.5_no.8.qasm,433,69,1027,316,2.372,4.58,0.45,1111,273,2.566,3.957,0.24,1228,171,2.836,2.478,0.64
53QBT_depth_Sycamore_large_opt_10_1.5_no.9.qasm,441,68,978,245,2.218,3.603,0.65,954,258,2.163,3.794,0.45,1362,171,3.088,2.515,0.91
53QBT_depth_Sycamore_large_opt_10_2.55_no.0.qasm,440,81,1028,253,2.336,3.123,0.76,1004,260,2.282,3.21,0.51,1193,152,2.711,1.877,1.2
53QBT_depth_Sycamore_large_opt_10_2.55_no.1.qasm,406,81,991,321,2.441,3.963,0.75,991,310,2.441,3.827,0.5,1288,186,3.172,2.296,0.96
53QBT_depth_Sycamore_large_opt_10_2.55_no.2.qasm,405,82,1122,321,2.77,3.915,0.59,1140,369,2.815,4.5,0.27,1458,202,3.6,2.463,0.86
53QBT_depth_Sycamore_large_opt_10_2.55_no.3.qasm,448,82,1063,284,2.373,3.463,0.81,1099,316,2.453,3.854,0.54,1381,226,3.083,2.756,0.99
53QBT_depth_Sycamore_large_opt_10_2.55_no.4.qasm,405,82,1059,269,2.615,3.28,0.79,1038,277,2.563,3.378,0.26,1269,202,3.133,2.463,0.99
53QBT_depth_Sycamore_large_opt_10_2.55_no.5.qasm,432,82,1041,312,2.41,3.805,0.55,1065,307,2.465,3.744,0.27,1410,194,3.264,2.366,0.84
53QBT_depth_Sycamore_large_opt_10_2.55_no.6.qasm,440,84,1034,283,2.35,3.369,0.82,1061,289,2.411,3.44,0.6,1649,214,3.748,2.548,1.31
53QBT_depth_Sycamore_large_opt_10_2.55_no.7.qasm,423,78,972,237,2.298,3.038,0.88,966,251,2.284,3.218,0.61,1398,170,3.305,2.179,1.22
53QBT_depth_Sycamore_large_opt_10_2.55_no.8.qasm,418,85,1000,299,2.392,3.518,0.82,967,270,2.313,3.176,0.26,1510,207,3.612,2.435,0.86
53QBT_depth_Sycamore_large_opt_10_2.55_no.9.qasm,469,84,1060,252,2.26,3.0,0.52,1141,298,2.433,3.548,0.27,1480,197,3.156,2.345,0.85
53QBT_depth_Sycamore_large_opt_1_1.5_no.0.qasm,70,12,100,20,1.429,1.667,0.05,100,20,1.429,1.667,0.05,103,18,1.471,1.5,0.05
53QBT_depth_Sycamore_large_opt_1_1.5_no.1.qasm,78,11,99,17,1.269,1.545,0.05,99,22,1.269,2.0,0.05,99,17,1.269,1.545,0.05
53QBT_depth_Sycamore_large_opt_1_1.5_no.2.qasm,64,10,82,20,1.281,2.0,0.04,82,20,1.281,2.0,0.04,88,18,1.375,1.8,0.05
53QBT_depth_Sycamore_large_opt_1_1.5_no.3.qasm,80,13,110,27,1.375,2.077,0.06,119,29,1.488,2.231,0.05,137,25,1.712,1.923,0.07
53QBT_depth_Sycamore_large_opt_1_1.5_no.4.qasm,75,13,96,25,1.28,1.923,0.05,96,25,1.28,1.923,0.05,96,24,1.28,1.846,0.05
53QBT_depth_Sycamore_large_opt_1_1.5_no.5.qasm,71,12,92,20,1.296,1.667,0.05,92,20,1.296,1.667,0.05,92,18,1.296,1.5,0.05
53QBT_depth_Sycamore_large_opt_1_1.5_no.6.qasm,66,10,105,24,1.591,2.4,0.05,102,22,1.545,2.2,0.04,114,19,1.727,1.9,0.05
53QBT_depth_Sycamore_large_opt_1_1.5_no.7.qasm,101,13,134,22,1.327,1.692,0.06,122,25,1.208,1.923,0.05,128,21,1.267,1.615,0.06
