circuit,2qg_in,depth_in,sabre0330_min_2qg_out,sabre0330_min_depth_out,sabre0330_min_2qg_ratio,sabre0330_min_depth_ratio,sabre0330_avg_time,sabre0394_min_2qg_out,sabre0394_min_depth_out,sabre0394_min_2qg_ratio,sabre0394_min_depth_ratio,sabre0394_avg_time,sqgm_min_2qg_out,sqgm_min_depth_out,sqgm_min_2qg_ratio,sqgm_min_depth_ratio,sqgm_avg_time
20QBT_depth_Tokyo_large_opt_10_1.5_no.0.qasm,231,77,456,249,1.974,3.234,0.19,426,198,1.844,2.571,0.15,570,189,2.468,2.455,0.22
20QBT_depth_Tokyo_large_opt_10_1.5_no.1.qasm,205,72,445,227,2.171,3.153,0.19,430,213,2.098,2.958,0.15,571,174,2.785,2.417,0.18
20QBT_depth_Tokyo_large_opt_10_1.5_no.2.qasm,228,78,474,266,2.079,3.41,0.16,444,237,1.947,3.038,0.17,582,163,2.553,2.09,0.19
20QBT_depth_Tokyo_large_opt_10_1.5_no.3.qasm,236,77,473,229,2.004,2.974,0.21,470,222,1.992,2.883,0.17,644,187,2.729,2.429,0.25
20QBT_depth_Tokyo_large_opt_10_1.5_no.4.qasm,249,78,483,277,1.94,3.551,0.17,471,242,1.892,3.103,0.13,669,204,2.687,2.615,0.29
20QBT_depth_Tokyo_large_opt_10_1.5_no.5.qasm,229,76,469,219,2.048,2.882,0.23,442,211,1.93,2.776,0.21,616,201,2.69,2.645,0.27
20QBT_depth_Tokyo_large_opt_10_1.5_no.6.qasm,232,80,457,230,1.97,2.875,0.24,439,214,1.892,2.675,0.2,610,171,2.629,2.138,0.29
20QBT_depth_Tokyo_large_opt_10_1.5_no.7.qasm,234,81,465,256,1.987,3.16,0.24,429,207,1.833,2.556,0.12,552,174,2.359,2.148,0.19
20QBT_depth_Tokyo_large_opt_10_1.5_no.8.qasm,210,74,495,273,2.357,3.689,0.26,450,242,2.143,3.27,0.21,561,183,2.671,2.473,0.29
20QBT_depth_Tokyo_large_opt_10_1.5_no.9.qasm,202,70,415,212,2.054,3.029,0.15,394,171,1.95,2.443,0.22,544,168,2.693,2.4,0.3
20QBT_depth_Tokyo_large_opt_10_2.55_no.0.qasm,229,93,472,285,2.061,3.065,0.19,457,279,1.996,3.0,0.14,601,186,2.624,2.0,0.33
20QBT_depth_Tokyo_large_opt_10_2.55_no.1.qasm,229,97,409,220,1.786,2.268,0.28,412,197,1.799,2.031,0.14,529,186,2.31,1.918,0.2
20QBT_depth_Tokyo_large_opt_10_2.55_no.2.qasm,236,93,482,268,2.042,2.882,0.2,464,232,1.966,2.495,0.25,611,199,2.589,2.14,0.22
